,id,name,category,weighted_score
133,134,Champs Sandwich Shop,"Sandwiches, American, Burgers",4.570719240761526
134,135,Smoothie King (420 Greensprings Hwy),"American, Healthy, Juice and Smoothies",4.570719240761526
137,138,Ebenezer Mexican Restaurant,"Mexican, Latin American, New Mexican",4.570719240761526
139,140,Good Health To Be Hail Cafe and Juice Bar,"Vegan, Wings, Fast Food, Desserts, Breakfast and Brunch",4.570719240761526
144,145,Bell Peppers,"American, Sandwiches, Pizza",4.570719240761526
145,146,La Paz (Euclid Ave),"Mexican, Latin American, New Mexican",4.648811561214255
148,149,Little Italy's Pizza and Pints,"Pizza, American, Italian",4.4772565189036655
149,150,Nothing But Noodles (Mountain Brook),"Chinese, Asian, Noodles",4.648811561214255
154,155,Little Donkey Mexican Restaurant | Homewood,"Mexican, Latin American, Comfort Food",4.647613266783117
158,159,Hardee's (1616 Decatur Hwy),"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich",4.570719240761526
161,162,Woodbury's Food for the Soul,"Burgers, American, Sandwiches",4.570719240761526
162,163,Newk's Eatery (611 Richard Arrington Jr Blvd S),"Sandwiches, American, Healthy",4.5916265471107245
164,165,Huddle House (2751 Allison Bonnet Memorial Hwy),"American, Breakfast &amp; Brunch, Salads",4.177298019404215
166,167,Greenhouse,"Salads, American, Vegetarian, Healthy",4.763181589421314
167,168,Hootie's Chicken Tenders (1278 Oak Grove Road),"American, Chicken Strips, Wings, Chicken",4.570719240761526
168,169,Underground Chuck's (1709 Fulton Rd),"American, Sandwich, Burgers",4.570719240761526
169,170,The Electric,"American, Sandwiches, Salads",4.570719240761526
171,172,Wing Town,"Comfort Food, American, Burgers",4.570719240761526
172,173,The Purple Onion (Hueytown),"Mediterranean, Greek, Comfort Food",4.535042708338362
173,174,Crawdaddy's,"Mexican, Latin American, New Mexican",4.570719240761526
175,176,The Purple Onion (Lakeview),"Mediterranean, Wings, Comfort Food",4.420071504800136
176,177,The Millionaire Cheesesteaks,"Sandwiches, American, Comfort Food",4.570719240761526
177,178,Hootie's Burger Bar (1278 Oak Grove Road),"American, Bar Food, burger, Sandwiches, Burgers",4.570719240761526
178,179,Wings R King (Hoover),"Wings, American, Fast Food",4.420071504800136
183,184,Oak Hill Bar &amp; Grill,"American, Burgers, Sandwiches",4.570719240761526
184,185,Hero Doughnuts (Homewood),"Coffee and Tea, American, Breakfast and Brunch",4.691760289803202
188,189,A-Wings (Montclair Rd),"American, Wings, Sandwich",4.377061892222091
190,191,Wings R King (Birmingham/Tarrant),"Wings, American, Fast Food",4.305701476593076
193,194,Onetaste,"Soul Food, American, Burgers",4.570719240761526
198,199,Rodney Scott's BBQ (Birmingham),"Black-owned, BBQ, American, Burgers, Family Meals",4.5916265471107245
200,201,O'Charley's (1709 Fulton Rd),"American, Family Meals",4.420071504800136
201,202,Wayback Burger (1801 4Th Avenue South Suite 103),"Burgers, American, Sandwich, Salads, Healthy",4.4772565189036655
203,204,Captain D's (1141 Forestdale Boulevard),"Seafood, Fast Food, Fish and Chips, American, Family Meals",4.570719240761526
209,210,Steel City Pops (2821 Central Ave),"Desserts, Ice Cream + Frozen Yogurt, Japanese sweets, Juice and Smoothies, Vegetarian Friendly",4.570719240761526
210,211,Market Cafe,"Burgers, American, Sandwiches, Salads, Healthy, Pizza, Vegetarian Friendly",4.570719240761526
211,212,Velvet Kake LLC,"Desserts, Comfort Food, Kids Friendly, Exclusive to Eats",4.570719240761526
212,213,De Vinci's Pizza,"Pizza, American, Italian, Family Friendly",4.5916265471107245
214,215,Starbucks (20th Street and 3rd Ave.),"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea, Group Friendly",4.705996575317784
215,216,Shiki Thai Sushi Restaurant,"Asian, Asian Cuisine, Family Friendly",4.705996575317784
216,217,Surin West,"Thai, Asian, Noodles, Family Friendly, Group Friendly",4.705996575317784
219,220,Outback Steakhouse (1725 Fulton Road),"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly",4.534441533007195
220,221,Dreamland BBQ (Birmingham),"BBQ, Burgers, Salads, Healthy, Family Friendly",4.534441533007195
222,223, Maki Fresh (Cahaba Village Plz),"Sushi, Asian, Japanese, Burgers, Salads, Desserts, Healthy, Family Meals, Family Friendly",4.648811561214255
223,224,Mr. Chen's Authentic Chinese Restaurant,"Chinese, Asian, Family Friendly, Exclusive to Eats, Group Friendly",4.5916265471107245
224,225,Fried or Die Chicken (541-B Graymont Ave),"Fried Chicken, Sandwiches, Southern, Alcohol",4.570719240761526
225,226,Ranch Burger Co. (541-B Graymont Ave),"American, Burgers, Sandwich, Alcohol",4.570719240761526
226,227,541-B Graymont Ave,"Breakfast and Brunch, American, Comfort Food, Alcohol",4.570719240761526
227,228,Juicy's Cheesesteaks (541-B Graymont Ave),"American, Sandwiches, Cheesesteak, Alcohol",4.570719240761526
228,229,541-B Graymont Ave,"Breakfast and Brunch, American, Sandwich, Alcohol",4.570719240761526
230,231,Copacabana Acai (541-B Graymont Ave),"American, Healthy",4.570719240761526
231,232,The Seafood King (Homewood),"Seafood, Comfort Food, Cajun",4.420071504800136
233,234,Subway (4024 Veterans Memorial Dr),"Fast Food, Sandwich, American",4.570719240761526
236,237,Corey's Restaurant (1800 24th St SW),"Burgers, American, Sandwiches",4.570719240761526
237,238,Cici's Pizza (808 Greensprings Highway),"Pizza, American, Italian",4.570719240761526
238,239,Hootie's Bait &amp; Tackle (1278 Oak Grove Road),"American, Burgers, Sandwich, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food",4.570719240761526
239,240,Coop &amp; Run (1709 Fulton Rd),"American, Fried Chicken",4.570719240761526
241,242,KFC (1229 Forestdale Boulevard),"American, Fast Food, wings, Family Meals",4.570719240761526
246,247,Logan's Roadhouse 479 (3387 Lowery Parkway),"Burgers, American, Sandwiches, Family Meals",4.3628864906966065
248,249,Applebee's (5 Points West),"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",4.248516462489547
250,251,Krystal (219 Forrest Road),"Fast Food, American, Burgers",4.570719240761526
253,254,Walgreens (1551 Forestdale Blvd),"Pharmacy, Convenience, Everyday Essentials, Baby",4.570719240761526
254,255,Church's Chicken (1428 Forestdale Blvd),"Fast Food, Chicken, Wings",4.570719240761526
255,256,Winged Fate,"Chicken, Fast Food, American, Comfort Food, Diner, Wings",4.570719240761526
257,258,Exotic Wings &amp; Things,"Halal, Chicken, Middle Eastern",4.570719240761526
258,259,Lisa's Rolled Ice Cream,"Ice Cream &amp; Frozen Yogurt, Desserts",4.570719240761526
259,260,Taziki's Mediterranean Café (301 18th Street South),"Healthy, Sandwich, Soup",4.570719240761526
260,261,Emily's Heirloom Pound Cakes ,"Black-owned, Desserts",4.570719240761526
261,262,Cosmic Wings (Fultondale),"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",4.570719240761526
265,266,Krystal (1119 Main Street),"American, Burgers, Fast Food",4.570719240761526
266,267,Twisted Tenders (3387 Lowery Pkwy.),"Chicken, Wings, Sandwiches, Comfort Food, Family Meals",4.570719240761526
268,269,Zaxby's (1304 Montgomery Highway),"Comfort Food, American, Wings",4.570719240761526
269,270,Jim 'N Nick's Bar-B-Q (Homewood),"BBQ, Sandwich, Salads",4.48047801437459
270,271,Ministry Of Curry,"Indian, Vegetarian, Pakistani, Indian Curry, Healthy",4.570719240761526
271,272,Honey Baked Ham (601 Montgomery Hwy),"Sandwich, Family Meals",4.570719240761526
272,273,"Church's Chicken (3052 Jefferson Avenue, Sw)","Fast Food, Chicken, American",4.570719240761526
273,274,Ember Smoked BBQ  (3387 Lowery Pkwy.),"American, Steak, Sandwiches",4.570719240761526
274,275,Jim 'N Nick's Bar-B-Q (5 Points South),"BBQ, American, Burgers",4.5916265471107245
276,277,"Church's Chicken  (9929 Parkway, East)","Comfort Food, American, Wings",4.570719240761526
278,279,Papa Johns (1429 11Th Avenue South),"Desserts, PIzza, Wings, Sandwiches",4.534441533007195
279,280,Holly Pond Cafe,"Coffee and Tea, American, Breakfast and Brunch",4.570719240761526
280,281,Yogurt Street,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",4.570719240761526
282,283,Tre Ragazzi's Italian Cafe Glencoe,"Italian, Pasta, Comfort Food",4.570719240761526
283,284,Pizza Hut (510 E Meighan Blvd # 7),"Fast Food, Italian, pizza, wings",4.570719240761526
284,285,Jefferson's Gadsden,"Burgers, American, Sandwiches",4.570719240761526
285,286,Cosmic Wings - Gadsden,"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",4.570719240761526
286,287,Tre's Southern Cafe,"Burgers, American, Sandwiches",4.570719240761526
287,288,Burger King (1980 Highway 77),"American, burger, Fast Food, Family Meals",4.570719240761526
288,289,"Moe's Southwest Grill (510 East Meighan Blvd., Suite A1)","Mexican, Fast Food, Comfort Food",4.570719240761526
289,290,Taco Bell (579 E. Meighan Boulevard),"American, Fast Food, wings, Family Meals",4.570719240761526
290,291,McDonald's (616 W Chastain Boulevard),"American, burger, Fast Food",4.570719240761526
291,292,Krispy Kreme (504 E. Meighan Blvd.),"Breakfast and Brunch, Bakery, Desserts",4.570719240761526
292,293,El Patron Mexican Restaurant,"Mexican, Latin American, New Mexican",4.570719240761526
293,294,Wendy's  (410 E Meighan Blvd),"American, Burgers, Fast Food",4.570719240761526
294,295,KFC (579 E. Meighan Boulevard),"American, Fast Food, wings",4.570719240761526
295,296,Captain D's (505 East Meighan Boulevard),"Seafood, Fast Food, Fish and Chips, American, Family Meals",4.570719240761526
296,297,Jersey Mike’s Subs (404 East Meighan Blvd),"Sandwich, American",4.570719240761526
297,298,Krystal (114 E. Meighan Blvd),"Fast Food, American, Burgers",4.570719240761526
299,300,MrBeast Burger (5714 US-278 East),"American, Desserts",4.570719240761526
302,303,Arby's (198 E Meighan Blvd),"American, Sandwich, Fast Food, Kids Friendly",4.570719240761526
304,305,Panera (508 E Meighan Blvd),"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken",4.570719240761526
308,309,Kelly's Cajun Grill,"Comfort Food, Caribbean, Cajun",4.570719240761526
309,310,Steel City Pops (329 Summit Blvd),"Ice Cream + Frozen Yogurt, Desserts, Vegetarian, Vegetarian Friendly, Bakery, Healthy",4.570719240761526
311,312,Subway (205 Helena Market Pl # 205),"Fast Food, Sandwich, American",4.570719240761526
313,314,Kokee Tea (Riverchase Galleria),"Asian, Desserts, Juice and Smoothies, Bubble Tea",4.570719240761526
315,316,Wasabi Juan's  (Hwy 280),"Sushi, Mexican, Burritos",4.570719240761526
316,317,Rowzac carrebian,"Black-owned, Caribbean, Chicken",4.570719240761526
318,319,Outback Steakhouse (3440 Galleria Circle),"American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly",4.4772565189036655
320,321,Yogurt Mountain,"Desserts, Ice Cream + Frozen Yogurt",4.570719240761526
321,322,Joe's Italian,"Italian, Pasta, Comfort Food, Family Meals",4.570719240761526
322,323,La Sabrosita Ice Cream Shop,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",4.570719240761526
323,324,Roll Up Ice Cream,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",4.570719240761526
324,325,Cream And Cones,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",4.570719240761526
325,326,Cafe Trentuno,"Italian, Pasta, Comfort Food",4.570719240761526
327,328,The Ice Cream Shop,"Ice Cream + Frozen Yogurt, Desserts, Comfort Food",4.570719240761526
329,330,Cracker Barrel Old Country Store (5040 Academy Lane),"American, Breakfast and Brunch, Chicken, Family Meals",4.332265712706897
330,331,Urban Pops,"Desserts, Vegetarian, Coffee and Tea, Healthy",4.570719240761526
331,332,Walgreens (3340 Pelham Pkwy),"Pharmacy, Convenience, Everyday Essentials, Baby",4.570719240761526
332,333,Tony's Hot Dogs,"Italian, Pasta, Comfort Food",4.570719240761526
334,335,The Heavenly Donut Co.,"Cafe, Coffee and Tea, Desserts, Bakery",4.741417021792398
339,340,Suki Hana Teriyaki,"Japanese, Asian, Chinese",4.570719240761526
340,341,Basil Thai Kitchen,"Thai, Asian, Noodles",4.570719240761526
341,342,Nori (4704 Cahaba River Rd),"Thai, Asian, Noodles",4.69521024924287
342,343,Mikey's Grill,"Seafood, Sandwiches, Burgers",4.570719240761526
343,344,Firebirds Wood Fired Grill (191 Main St),"American, Seafood, Steak, Family Meals",4.534441533007195
345,346,Silvercoin Indian Grill,"Indian, Vegetarian, Asian, Healthy",4.643656340470513
348,349,"Curry Spoon (3321 Lorna Rd, Birmingham, AL 35216)","Indian, Pakistani, Chicken, Halal, Vegetarian",4.570719240761526
350,351,Kobe Japanese Steak House &amp; Sushi Bar,"Japanese, Asian, Sushi",4.570719240761526
351,352,Happy China Chinese Restaurant,"Chinese, Asian, Asian Fusion",4.570719240761526
352,353,Bamboo Garden,"Chinese, Asian, Asian Fusion",4.570719240761526
361,362,Otoro Hibachi,"Japanese, Asian, Sushi",4.648811561214255
363,364,Beijing Express,"Chinese, Asian, Asian Fusion",4.570719240761526
366,367,La Cocinita - Cahaba,"Mexican, Latin American, Tacos",4.570719240761526
367,368,The Ice Cream Shop,"Burgers, American, Sandwiches",4.570719240761526
368,369,Lake Side Cafe,"Burgers, American, Sandwiches, Salads, Healthy",4.570719240761526
369,370,Cosmic Wings (Highway 119),"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",4.570719240761526
370,371,El Cielo Mexican Grill,"American, Burgers, Sandwiches",4.570719240761526
371,372,150 &amp; Main,"BBQ, American, Burgers",4.570719240761526
372,373,Warrior Express,"Pizza, American, Italian",4.570719240761526
373,374,Purple Onion Deli &amp; Grill,"Burgers, American, Sandwiches",4.570719240761526
374,375,La Cocinita - Pelham,"Mexican, Latin American, New Mexican",4.570719240761526
375,376,Refined-ToGo,"American, Burgers, Sandwiches",4.570719240761526
376,377,Moe's Southwest Grill (300 S Colonial Dr),"Mexican, Latin American, New Mexican",4.570719240761526
377,378,Boardroom Bar &amp; Grill,"Burgers, American, Sandwiches, Exclusive to Eats",4.570719240761526
378,379,On Tap Sports Cafe(Inverness),"American, Burgers, Sandwiches",4.570719240761526
379,380,Sneaky Pete's Hot Dogs (Pelham Marathon),"Burgers, American, Sandwiches",4.570719240761526
380,381,Flying Biscuit Cafe (The Shops of the Colonnade),"Breakfast and Brunch, American, Sandwiches",4.705996575317784
384,385,Bama Burgers,"Burgers, American, Sandwiches",4.570719240761526
385,386,Pelham Diner,"Breakfast and Brunch, American, Sandwiches",4.570719240761526
386,387,Sneaky Pete's Hotdogs,"Comfort Food, American, Burgers",4.570719240761526
387,388,Farrelly's Southern Bar and Kitchen,"BBQ, American, Burgers",4.570719240761526
388,389,The Depot Deli &amp; Grill,"Burgers, American, Sandwiches",4.570719240761526
389,390,Pazzo! Big Slice Pizza,"Pizza, American, Italian",4.570719240761526
393,394,Amigo's Mexican Grill,"Mexican, Latin American, New Mexican",4.570719240761526
394,395,Smoothie King (2000 Riverchase Galleria),"American, Healthy, Juice and Smoothies",4.570719240761526
395,396,La Libertad,"Chinese, Asian, Asian Fusion",4.570719240761526
396,397,Moss Rock Tacos &amp; Tequila,"Mexican, Latin American, New Mexican",4.570719240761526
398,399,Cozumel Grill &amp; Mexican Restaurant,"Mexican, Latin American, New Mexican",4.570719240761526
399,400,Margarita Grill,"Mexican, Latin American, New Mexican",4.570719240761526
400,401,Auntie Anne's (2000 Galleria Cir),"American, Breakfast and Brunch, Desserts",4.570719240761526
401,402,Los Angeles Burrito,"Mexican, Latin American, New Mexican",4.570719240761526
403,404,Pasqually's Pizza &amp; Wings P330 (500 Old Town Rd),"Pizza, Italian, Wings",4.570719240761526
404,405,Pub 261,"American, Burgers, Sandwiches",4.570719240761526
405,406,Cindy's Cinnamon Rolls,"American, Pastry, Desserts",4.570719240761526
407,408,Cantina Grill,"Mexican, Latin American, New Mexican",4.570719240761526
408,409,All Original Pizzeria,"Pizza, American, Italian",4.570719240761526
411,412,El Tejano,"Mexican, Latin American, New Mexican",4.570719240761526
412,413,Market Fresh (4615 HWY 280 S),"American, Fast Food, Sandwich",4.570719240761526
415,416,Hootie's Chicken Tenders (400 Cahaba Valley Rd),"American, Chicken Strips, Wings, Chicken",4.570719240761526
416,417,Rio's Bar and Grill,"American, Burgers, Sandwiches",4.570719240761526
420,421,Chubbfathers,"Burgers, American, Sandwiches",4.570719240761526
421,422,K and Js Elegant Pastries,"American, Breakfast and Brunch, Desserts",4.570719240761526
424,425,creACTive Cafe,"American, Sandwich, Pastry",4.570719240761526
427,428,Farmer's Basket,"Seafood, Comfort Food, Southern",4.570719240761526
428,429,C’s Cakes &amp; Coffee House,"Latin American, Mexican, Vegetarian",4.570719240761526
431,432,Captain D's (420 Cahaba Valley Road),"Seafood, Fast Food, Fish and Chips, American, Family Meals",4.570719240761526
435,436,San Antonio Grill (McCalla),"Mexican, Tex Mex, Comfort Food",4.483461057153185
444,445,Sol Azteca 2 (807 1st St N),"Mexican, Latin American, New Mexican",4.570719240761526
446,447,Salvatore's Pizza &amp; Pasta (Hoover),"Pizza, American, Italian",4.648811561214255
454,455,Burger King (681 1st Street South West),"American, burger, Fast Food, Family Meals",4.570719240761526
455,456,Cracker Barrel Old Country Store (655 Cahaba Valley Road),"Burgers, American, Sandwiches, Family Meals",4.305701476593076
460,461,Five Guys AL-0451 4730 Chace Cir,"American, Burgers",4.648811561214255
461,462,Taziki's Mediterranean Café (3439 Colonnade Parkway),"Mediterranean, Salads, Kids Friendly, Chicken",4.570719240761526
462,463,Taste Of Thailand,"Asian, Thai, Desserts, Family Friendly",4.648811561214255
463,464,Papa Murphy's  (3056 Healthy Way STE 140),"Pizza, Desserts, Comfort Food",4.570719240761526
464,465,Chicken N' Biscuits by Cracker Barrel (5040 Academy Lane),"American, Comfort Food, Fried Chicken, Family Meals, Sandwich, Family Friendly",4.570719240761526
466,467,FireBurger (191 Main Street),"American, Traditional American, Burgers, Burgers, Sandwich, Sandwiches, Chicken, Kids Friendly, Comfort Food, Desserts, Desserts, Drinks",4.570719240761526
467,468,Outback Steakhouse (5231 Highway 280 South),"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly",4.535665243477971
469,470,Metro Diner (Inverness Birmingham),"Diner, Breakfast and Brunch, Burgers, Comfort Food, Family Friendly",4.648811561214255
471,472,Arby's (105 South Colonial Dr),"American, Sandwich, Fast Food, Kids Friendly",4.570719240761526
479,480,Cici's Pizza (1851 Montgomery Highway),"Pizza, American, Italian",4.570719240761526
482,483,Hootie's Bait &amp; Tackle (400 Cahaba Valley Rd),"American, Barfood, Wings, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich",4.570719240761526
483,484,Coop &amp; Run (285 S Colonial Promenade),"American, Fried Chicken",4.570719240761526
488,489,Honey Baked Ham (100 S Colonial Dr),"Sandwich, American",4.570719240761526
490,491,Jason's Deli (3032 John Hawkins Pkwy),"American, Deli, Sandwich, Salads, Pasta, Family Meals",4.5916265471107245
491,492,Maya Mexican Restaurant (Alabaster),"Mexican, Latin American, Comfort Food",4.570719240761526
496,497,Logan's Roadhouse 475 (5000 Bond Boulevard),"Burgers, American, Sandwiches, Family Meals",4.248516462489547
497,498,Jake's Soul Food Cafe,"Soul Food, Caribbean, Comfort Food",4.5916265471107245
499,500,Pizza Hut (495 Helena Market Place),"Fast Food, Italian, pizza, wings",4.570719240761526
503,504,CVS (4685 HIGHWAY 17),"Everyday Essentials, Convenience, Pharmacy, Snacks",4.570719240761526
504,505,Walgreens (2381 HELENA RD),"Pharmacy, Convenience, Everyday Essentials, Baby",4.570719240761526
505,506,Brown Sugar Desserts by Renea,"Desserts, Coffee and Tea",4.570719240761526
506,507,Popeyes (2000 Galleria Circle Space No F),"American, Chicken, Family Meals, Fried Chicken, Comfort Food",4.570719240761526
507,508,Taziki's Mediterranean Café (630 1st Street North),"Healthy, Sandwich, Soup",4.570719240761526
508,509,"Mad Over Curry (3321 Lorna Rd, Birmingham, AL 35216)","Vegetarian, Indian Curry, Healthy, Gluten Free, Vegan",4.570719240761526
511,512,Wendy's  (579 Cahaba Valley Rd),"American, Burgers, Fast Food",4.570719240761526
512,513,Zaxbys (2735 John Hawkins Pkwy),"American, Wings, Salads, Healthy, Family Meals",4.691760289803202
